chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1227763	1244989	-	116983	ACAP3	105	9.9061588E-1	DAVIES_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	85	9.78395736E-1	DAVIES_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	142	9.73198104E-1	DAVIES_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	158	9.77635963E-1	DAVIES_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	158	9.75240685E-1	DAVIES_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	166	9.64512082E-1	DAVIES_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	180	8.97419145E-1	DAVIES_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	196	7.09264544E-1	DAVIES_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	220	5.44285075E-1	DAVIES_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	215	5.320166E-1	DAVIES_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	225	5.56391907E-1	DAVIES_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	178	4.57694545E-1	DAVIES_SUCCESS
chr1	1361507	1363167	+	643965	TMEM88B	149	3.74693198E-1	DAVIES_SUCCESS
chr1	1370902	1378262	+	64856	VWA1	138	2.89816574E-1	DAVIES_SUCCESS
chr1	1385068	1405538	+	219293	ATAD3C	145	2.75783349E-1	DAVIES_SUCCESS
chr1	1407163	1444689	+	83858	ATAD3B	155	3.64009082E-1	DAVIES_SUCCESS
chr1	1447522	1470067	+	55210	ATAD3A	113	6.81395994E-1	DAVIES_SUCCESS
chr1	1470157	1475740	-	339453	TMEM240	114	7.31983292E-1	DAVIES_SUCCESS
chr1	1477052	1510262	-	29101	SSU72	169	9.61711122E-1	DAVIES_SUCCESS
chr1	1533387	1535476	-	643988	C1orf233	146	9.76439767E-1	DAVIES_SUCCESS
chr1	1550794	1565990	+	142678	MIB2	164	8.70233711E-1	DAVIES_SUCCESS
chr1	1567559	1570030	+	8510	MMP23B	155	7.69440489E-1	DAVIES_SUCCESS
chr1	1571099	1655775	-	984	CDK11B	309	7.65150874E-1	DAVIES_SUCCESS
chr1	1590987	1677438	-	728661	SLC35E2B	304	6.60336638E-1	DAVIES_SUCCESS
chr1	1631377	1633247	+	8511	MMP23A	177	6.13686433E-1	DAVIES_SUCCESS
chr1	1634169	1655791	-	728642	CDK11A	224	5.60496301E-1	DAVIES_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	215	4.83549033E-1	DAVIES_SUCCESS
chr1	1682670	1711508	-	65220	NADK	208	5.08436212E-1	DAVIES_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	320	3.91917261E-1	DAVIES_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	235	5.66326816E-1	DAVIES_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	255	6.42847188E-1	DAVIES_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	431	4.82043619E-1	DAVIES_SUCCESS
chr1	1950767	1962192	+	2563	GABRD	305	3.66240605E-1	DAVIES_SUCCESS
chr1	1981908	2116834	+	5590	PRKCZ	516	5.77200235E-1	DAVIES_SUCCESS
chr1	2115898	2139172	-	199990	C1orf86	224	6.13008162E-1	DAVIES_SUCCESS
chr1	2160133	2241652	+	6497	SKI	453	5.54439512E-1	DAVIES_SUCCESS
chr1	2252695	2322993	-	79906	MORN1	512	4.0322194E-1	DAVIES_SUCCESS
chr1	2281852	2284100	-	100129534	LOC100129534	309	3.67669697E-1	DAVIES_SUCCESS
chr1	2323213	2336885	+	11079	RER1	337	4.24396948E-1	DAVIES_SUCCESS
chr1	2336240	2344010	-	5192	PEX10	307	4.70749968E-1	DAVIES_SUCCESS
chr1	2407753	2436969	+	9651	PLCH2	266	7.40392511E-1	DAVIES_SUCCESS
chr1	2439974	2458035	-	55229	PANK4	204	7.66814864E-1	DAVIES_SUCCESS
chr1	2460183	2461684	-	388585	HES5	154	7.40653263E-1	DAVIES_SUCCESS
chr1	2481358	2484284	-	115110	LOC115110	183	5.2640675E-1	DAVIES_SUCCESS
chr1	2486162	2488450	-	100133445	LOC100133445	192	5.00874669E-1	DAVIES_SUCCESS
chr1	2487804	2495267	+	8764	TNFRSF14	207	4.82012652E-1	DAVIES_SUCCESS
chr1	2517898	2522908	+	127281	FAM213B	197	3.90969569E-1	DAVIES_SUCCESS
chr1	2522080	2564481	-	79258	MMEL1	205	3.91288724E-1	DAVIES_SUCCESS
chr1	2572806	2706230	-	100287898	TTC34	213	3.64894113E-1	DAVIES_SUCCESS
chr1	2938045	2939467	+	140625	ACTRT2	272	1.57438943E-1	DAVIES_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	293	1.40974546E-1	DAVIES_SUCCESS
chr1	2985741	3355185	+	63976	PRDM16	1263	2.15252922E-1	DAVIES_SUCCESS
chr1	3044538	3044599	+	100422968	MIR4251	302	6.1698225E-1	DAVIES_SUCCESS
chr1	3371146	3397677	+	27237	ARHGEF16	319	5.27684247E-1	DAVIES_SUCCESS
chr1	3404505	3528059	-	1953	MEGF6	531	7.41329764E-1	DAVIES_SUCCESS
chr1	3477259	3477354	-	693135	MIR551A	268	8.21160808E-1	DAVIES_SUCCESS
chr1	3541555	3546694	+	127262	TPRG1L	282	6.70109354E-1	DAVIES_SUCCESS
chr1	3547330	3566671	-	49856	WRAP73	321	7.53598025E-1	DAVIES_SUCCESS
chr1	3569128	3652765	+	7161	TP73	489	4.23857337E-1	DAVIES_SUCCESS
chr1	3652547	3663937	-	57212	TP73-AS1	305	2.60894282E-1	DAVIES_SUCCESS
chr1	3668964	3688209	+	148870	CCDC27	345	2.57330824E-1	DAVIES_SUCCESS
chr1	3689333	3692546	+	388588	SMIM1	313	2.29566765E-1	DAVIES_SUCCESS
chr1	3696783	3713068	-	57470	LRRC47	410	2.2050286E-1	DAVIES_SUCCESS
chr1	3728644	3773797	-	9731	CEP104	617	1.32512373E-1	DAVIES_SUCCESS
chr1	3773844	3801993	+	1677	DFFB	514	1.89961239E-1	DAVIES_SUCCESS
chr1	3805696	3816857	-	339448	C1orf174	375	1.2102909E-1	DAVIES_SUCCESS
chr1	3816967	3833879	+	100133612	LOC100133612	312	1.20998979E-1	DAVIES_SUCCESS
chr1	4000671	4012643	+	728716	LOC728716	194	1.25535629E-1	DAVIES_SUCCESS
chr1	4472110	4484744	+	284661	LOC284661	429	4.57100497E-1	DAVIES_SUCCESS
chr1	4715104	4843851	+	55966	AJAP1	746	3.29413224E-1	DAVIES_SUCCESS
chr1	5624130	5624203	+	100616489	MIR4417	275	9.85817197E-1	DAVIES_SUCCESS
chr1	5922731	5922801	-	100616421	MIR4689	276	6.96577105E-2	DAVIES_SUCCESS
chr1	5922869	6052533	-	261734	NPHP4	562	5.82816735E-2	DAVIES_SUCCESS
chr1	6052357	6161253	+	8514	KCNAB2	502	1.37806278E-1	DAVIES_SUCCESS
chr1	6161846	6240194	-	26038	CHD5	402	3.84826265E-1	DAVIES_SUCCESS
chr1	6245079	6259679	-	6146	RPL22	230	1.32526829E-1	DAVIES_SUCCESS
chr1	6266188	6281359	+	388591	RNF207	173	1.19327647E-1	DAVIES_SUCCESS
chr1	6281252	6296044	-	23463	ICMT	152	5.79468856E-2	DAVIES_SUCCESS
chr1	6304251	6305638	+	390992	HES3	131	5.3998731E-2	DAVIES_SUCCESS
chr1	6307405	6321035	-	387509	GPR153	152	6.89489124E-2	DAVIES_SUCCESS
chr1	6324331	6453826	-	11332	ACOT7	412	5.83427904E-1	DAVIES_SUCCESS
chr1	6472497	6484730	-	54626	HES2	239	9.76098082E-1	DAVIES_SUCCESS
chr1	6484847	6521004	+	83715	ESPN	281	9.96723038E-1	DAVIES_SUCCESS
chr1	6489893	6489956	-	100422975	MIR4252	215	9.88127714E-1	DAVIES_SUCCESS
chr1	6521213	6526255	-	8718	TNFRSF25	217	9.94303791E-1	DAVIES_SUCCESS
chr1	6526151	6580121	-	57449	PLEKHG5	347	9.67759289E-1	DAVIES_SUCCESS
chr1	6581406	6614658	-	79707	NOL9	263	8.91676914E-1	DAVIES_SUCCESS
chr1	6615337	6639817	+	80835	TAS1R1	241	8.26982495E-1	DAVIES_SUCCESS
chr1	6640055	6649340	+	3104	ZBTB48	189	8.26336829E-1	DAVIES_SUCCESS
chr1	6650778	6662929	-	9903	KLHL21	182	8.1700945E-1	DAVIES_SUCCESS
chr1	6673755	6684093	+	148479	PHF13	157	7.85923199E-1	DAVIES_SUCCESS
chr1	6684924	6695646	+	90326	THAP3	155	7.34623162E-1	DAVIES_SUCCESS
chr1	6694227	6761966	-	55735	DNAJC11	276	4.62115794E-1	DAVIES_SUCCESS
chr1	6845383	7829766	+	23261	CAMTA1	2309	7.57155518E-1	DAVIES_SUCCESS
chr1	7831328	7841492	+	9341	VAMP3	274	1.29105096E-1	DAVIES_SUCCESS
chr1	7844379	7905237	+	8863	PER3	487	2.24564994E-1	DAVIES_SUCCESS
chr1	7903142	7973294	-	10911	UTS2	436	5.2209581E-1	DAVIES_SUCCESS
chr1	7975930	8003225	-	3604	TNFRSF9	237	6.95751419E-1	DAVIES_SUCCESS
chr1	8021713	8045342	+	11315	PARK7	147	6.33564784E-1	DAVIES_SUCCESS
chr1	8071778	8086393	-	54206	ERRFI1	159	5.94580573E-1	DAVIES_SUCCESS
chr1	8384389	8404227	+	50651	SLC45A1	246	3.34972152E-1	DAVIES_SUCCESS
chr1	8412463	8877699	-	473	RERE	724	5.22169275E-1	DAVIES_SUCCESS
chr1	8921058	8939151	-	2023	ENO1	226	3.07836891E-1	DAVIES_SUCCESS
chr1	8938893	8939943	+	100505975	ENO1-AS1	210	3.10358343E-1	DAVIES_SUCCESS
chr1	9005892	9035148	+	765	CA6	356	4.96399451E-1	DAVIES_SUCCESS
chr1	9063358	9086404	-	155184	SLC2A7	299	9.16123006E-1	DAVIES_SUCCESS
chr1	9097004	9148510	-	6518	SLC2A5	364	8.64006433E-1	DAVIES_SUCCESS
chr1	9164475	9189229	-	80045	GPR157	270	5.04093877E-1	DAVIES_SUCCESS
chr1	9211726	9211836	-	407040	MIR34A	180	4.60288338E-1	DAVIES_SUCCESS
chr1	9294862	9331394	+	9563	H6PD	433	7.18392302E-1	DAVIES_SUCCESS
chr1	9352940	9429590	+	80176	SPSB1	521	4.50678611E-1	DAVIES_SUCCESS
chr1	9599527	9642831	+	84275	SLC25A33	148	4.0119505E-1	DAVIES_SUCCESS
chr1	9648931	9674935	+	199953	TMEM201	162	4.1879874E-1	DAVIES_SUCCESS
chr1	9711789	9789172	+	5293	PIK3CD	211	6.25398214E-1	DAVIES_SUCCESS
chr1	9712667	9714644	-	644997	C1orf200	160	5.92083061E-1	DAVIES_SUCCESS
chr1	9789078	9884550	-	22883	CLSTN1	205	2.85426274E-1	DAVIES_SUCCESS
chr1	9908333	9970316	-	56998	CTNNBIP1	192	3.54634997E-1	DAVIES_SUCCESS
chr1	9989775	10003427	-	84328	LZIC	118	8.05536736E-1	DAVIES_SUCCESS
chr1	10003485	10045556	+	64802	NMNAT1	141	8.25917853E-1	DAVIES_SUCCESS
chr1	10057254	10076078	+	116362	RBP7	90	9.2392363E-1	DAVIES_SUCCESS
chr1	10093040	10241296	+	10277	UBE4B	196	6.68396254E-1	DAVIES_SUCCESS
chr1	10270763	10441661	+	23095	KIF1B	417	4.43462446E-1	DAVIES_SUCCESS
chr1	10459084	10480201	+	5226	PGD	221	5.03613875E-1	DAVIES_SUCCESS
chr1	10490158	10512060	+	100526739	APITD1-CORT	216	5.75460184E-1	DAVIES_SUCCESS
chr1	10509775	10512060	+	1325	CORT	183	6.30993292E-1	DAVIES_SUCCESS
chr1	10520602	10532613	-	1676	DFFA	208	6.17611574E-1	DAVIES_SUCCESS
chr1	10535002	10690815	+	5195	PEX14	475	7.60418327E-1	DAVIES_SUCCESS
chr1	10696665	10856733	-	54897	CASZ1	436	7.7856761E-1	DAVIES_SUCCESS
chr1	11006529	11042094	-	148345	C1orf127	345	9.75084066E-1	DAVIES_SUCCESS
chr1	11072678	11085549	+	23435	TARDBP	217	8.37392714E-1	DAVIES_SUCCESS
chr1	11086579	11107296	-	10747	MASP2	184	7.43957255E-1	DAVIES_SUCCESS
chr1	11114648	11120091	-	6723	SRM	117	8.00241529E-1	DAVIES_SUCCESS
chr1	11126675	11159938	-	5394	EXOSC10	111	8.17242001E-1	DAVIES_SUCCESS
chr1	11166587	11322608	-	2475	MTOR	190	9.76507223E-1	DAVIES_SUCCESS
chr1	11203954	11209595	+	100873935	MTOR-AS1	42	8.28636916E-1	DAVIES_SUCCESS
chr1	11249345	11256038	+	10218	ANGPTL7	91	9.40455773E-1	DAVIES_SUCCESS
chr1	11333254	11348491	+	29914	UBIAD1	120	8.4636782E-1	DAVIES_SUCCESS
chr1	11539294	11597640	+	57540	PTCHD2	387	6.67887419E-1	DAVIES_SUCCESS
chr1	11708417	11714888	-	26232	FBXO2	243	3.98192E-1	DAVIES_SUCCESS
chr1	11714431	11723384	+	93611	FBXO44	261	2.03990998E-1	DAVIES_SUCCESS
chr1	11724149	11734409	+	26270	FBXO6	257	1.62674834E-1	DAVIES_SUCCESS
chr1	11734536	11751678	-	10459	MAD2L2	266	7.11966282E-2	DAVIES_SUCCESS
chr1	11751780	11780336	+	374946	DRAXIN	308	1.08207326E-1	DAVIES_SUCCESS
chr1	11796141	11810828	+	57085	AGTRAP	356	3.083676E-1	DAVIES_SUCCESS
chr1	11845786	11866160	-	4524	MTHFR	420	9.81162683E-1	DAVIES_SUCCESS
chr1	11866152	11903201	+	1185	CLCN6	475	9.86833082E-1	DAVIES_SUCCESS
chr1	11900375	11907674	+	100379251	NPPA-AS1	337	9.57544964E-1	DAVIES_SUCCESS
chr1	11905766	11907840	-	4878	NPPA	329	9.54846559E-1	DAVIES_SUCCESS
chr1	11917520	11918992	-	4879	NPPB	327	8.94986577E-1	DAVIES_SUCCESS
chr1	11979644	11986485	-	90231	KIAA2013	299	5.19082995E-1	DAVIES_SUCCESS
chr1	11994723	12035599	+	5351	PLOD1	346	3.6169478E-1	DAVIES_SUCCESS
chr1	12040237	12073572	+	9927	MFN2	263	3.30485117E-1	DAVIES_SUCCESS
chr1	12079298	12092106	+	60672	MIIP	199	3.87366265E-1	DAVIES_SUCCESS
chr1	12123433	12204264	+	943	TNFRSF8	337	8.03719526E-1	DAVIES_SUCCESS
chr1	12227059	12269277	+	7133	TNFRSF1B	214	3.39613339E-1	DAVIES_SUCCESS
chr1	12251761	12251839	+	100616438	MIR4632	154	3.93021381E-1	DAVIES_SUCCESS
chr1	12290112	12572098	+	55187	VPS13D	385	4.28951013E-1	DAVIES_SUCCESS
chr1	12567299	12567451	+	677882	SNORA59B	148	6.38050393E-1	DAVIES_SUCCESS
chr1	12627938	12677820	-	9249	DHRS3	358	3.39605019E-1	DAVIES_SUCCESS
chr1	12704565	12727097	+	343066	AADACL4	219	1.6951599E-1	DAVIES_SUCCESS
chr1	12776117	12788726	+	126767	AADACL3	238	1.17154401E-1	DAVIES_SUCCESS
chr1	12806162	12821102	+	93190	C1orf158	209	8.22077704E-2	DAVIES_SUCCESS
chr1	12834983	12838048	+	390999	PRAMEF12	155	5.12864913E-2	DAVIES_SUCCESS
chr1	12851545	12856777	+	65121	PRAMEF1	109	2.29616627E-2	DAVIES_SUCCESS
chr1	12884467	12891264	-	440560	PRAMEF11	58	8.02871711E-3	DAVIES_SUCCESS
chr1	12907235	12908237	-	649330	LOC649330	36	2.25049095E-2	DAVIES_SUCCESS
chr1	12907260	12908578	-	343069	HNRNPCL1	36	2.25049095E-2	DAVIES_SUCCESS
chr1	12916940	12921764	+	65122	PRAMEF2	25	7.81762311E-2	DAVIES_SUCCESS
chr1	12939032	12946025	-	400735	PRAMEF4	20	7.80979089E-1	DAVIES_SUCCESS
chr1	12952726	12958094	-	343071	PRAMEF10	19	7.55198012E-1	DAVIES_SUCCESS
chr1	12976449	13611550	+	391002	PRAMEF8	37	7.90805826E-1	DAVIES_SUCCESS
chr1	12998301	13369057	-	343068	PRAMEF5	37	7.90805826E-1	DAVIES_SUCCESS
chr1	13182959	13184326	-	440563	LOC440563	37	7.90805826E-1	DAVIES_SUCCESS
chr1	13516065	13747803	+	645425	PRAMEF20	82	6.59887516E-1	DAVIES_SUCCESS
chr1	13801444	13840242	-	126755	LRRC38	384	8.84764083E-1	DAVIES_SUCCESS
chr1	13910251	13944452	+	10630	PDPN	415	9.25411026E-1	DAVIES_SUCCESS
chr1	14026734	14151574	+	7799	PRDM2	361	8.28640326E-3	DAVIES_SUCCESS
chr1	14925212	15444544	+	23254	KAZN	1809	6.35262672E-1	DAVIES_SUCCESS
chr1	15438310	15478960	-	200197	TMEM51-AS1	565	2.65812761E-1	DAVIES_SUCCESS
chr1	15479027	15546974	+	55092	TMEM51	792	2.93619593E-1	DAVIES_SUCCESS
chr1	15573767	15726778	+	114827	FHAD1	676	3.46624885E-1	DAVIES_SUCCESS
chr1	15736390	15756839	+	79180	EFHD2	234	3.14664529E-1	DAVIES_SUCCESS
chr1	15764937	15773153	+	11330	CTRC	231	2.66665357E-1	DAVIES_SUCCESS
chr1	15783222	15798586	+	63036	CELA2A	275	2.55720192E-1	DAVIES_SUCCESS
chr1	15802595	15817895	+	51032	CELA2B	280	2.24579618E-1	DAVIES_SUCCESS
chr1	15817323	15851285	-	842	CASP9	323	2.63299294E-1	DAVIES_SUCCESS
chr1	15853351	15918874	+	23341	DNAJC16	473	3.74906702E-1	DAVIES_SUCCESS
chr1	15898193	15911605	-	79814	AGMAT	332	4.09653193E-1	DAVIES_SUCCESS
chr1	15943952	15987552	+	84301	DDI2	395	4.04189884E-1	DAVIES_SUCCESS
chr1	15986363	15988217	+	6248	RSC1A1	215	3.81186073E-1	DAVIES_SUCCESS
chr1	16010826	16061264	+	23207	PLEKHM2	323	3.59040609E-1	DAVIES_SUCCESS
chr1	16062808	16067884	+	284723	SLC25A34	236	3.02059568E-1	DAVIES_SUCCESS
chr1	16068986	16074292	+	388595	TMEM82	238	3.37086701E-1	DAVIES_SUCCESS
chr1	16083153	16113084	+	54751	FBLIM1	393	4.11810904E-1	DAVIES_SUCCESS
chr1	16133656	16134194	-	440567	UQCRHL	301	3.26128556E-1	DAVIES_SUCCESS
chr1	16160709	16174642	-	729614	FLJ37453	315	2.68153191E-1	DAVIES_SUCCESS
chr1	16174358	16266950	+	23013	SPEN	429	1.64032167E-1	DAVIES_SUCCESS
chr1	16268363	16302627	-	7709	ZBTB17	339	7.77282533E-2	DAVIES_SUCCESS
chr1	16330730	16333184	+	149563	C1orf64	463	1.62963606E-1	DAVIES_SUCCESS
chr1	16340522	16346089	-	27129	HSPB7	498	1.23454003E-1	DAVIES_SUCCESS
chr1	16345369	16360545	+	1187	CLCNKA	517	1.15424441E-1	DAVIES_SUCCESS
chr1	16355620	16383821	+	1188	CLCNKB	608	1.20689366E-1	DAVIES_SUCCESS
chr1	16384263	16400127	-	348487	FAM131C	507	2.16523691E-1	DAVIES_SUCCESS
chr1	16450831	16482582	-	1969	EPHA2	317	2.97231332E-1	DAVIES_SUCCESS
chr1	16524598	16539104	-	128272	ARHGEF19	242	4.74375916E-1	DAVIES_SUCCESS
chr1	16558181	16563659	-	79363	RSG1	234	6.37376503E-1	DAVIES_SUCCESS
chr1	16576558	16678948	-	54455	FBXO42	374	6.95459041E-1	DAVIES_SUCCESS
chr1	16693524	16724643	+	26099	SZRD1	264	8.95200317E-1	DAVIES_SUCCESS
chr1	16722175	16763919	-	374955	SPATA21	307	8.80596034E-1	DAVIES_SUCCESS
chr1	16767166	16786584	+	55707	NECAP2	273	8.11801663E-1	DAVIES_SUCCESS
chr1	16793930	16819196	-	114819	CROCCP3	231	7.40331927E-1	DAVIES_SUCCESS
chr1	16875408	17185516	+	100500876	MIR3675	74	7.47442394E-1	DAVIES_SUCCESS
chr1	16888921	16940100	-	55672	NBPF1	38	7.94607355E-1	DAVIES_SUCCESS
chr1	16944750	16971178	-	84809	CROCCP2	5	4.86421077E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	16972068	16976915	+	11209	MST1P2	7	4.66968859E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17017712	17046652	-	284729	ESPNP	7	4.66968859E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	17066767	17299474	+	9696	CROCC	144	3.01157282E-1	DAVIES_SUCCESS
chr1	17300998	17308081	-	4237	MFAP2	155	3.07470585E-1	DAVIES_SUCCESS
chr1	17312452	17338423	-	23400	ATP13A2	232	4.65983623E-1	DAVIES_SUCCESS
chr1	17345224	17380665	-	6390	SDHB	398	6.19159796E-1	DAVIES_SUCCESS
chr1	17393255	17445948	-	11240	PADI2	470	8.21217526E-1	DAVIES_SUCCESS
chr1	17531620	17572501	+	29943	PADI1	488	9.85097504E-1	DAVIES_SUCCESS
chr1	17575592	17610727	+	51702	PADI3	506	6.57972486E-1	DAVIES_SUCCESS
chr1	17634689	17690495	+	23569	PADI4	608	2.97307388E-1	DAVIES_SUCCESS
chr1	17698740	17728195	+	353238	PADI6	439	1.9850469E-1	DAVIES_SUCCESS
chr1	17733250	17766250	-	55920	RCC2	375	5.8403921E-1	DAVIES_SUCCESS
chr1	17846826	18024370	+	55160	ARHGEF10L	459	7.98092558E-1	DAVIES_SUCCESS
chr1	18081807	18153558	+	81569	ACTL8	349	8.85665509E-1	DAVIES_SUCCESS
chr1	18434239	18704977	+	84966	IGSF21	986	9.50902517E-1	DAVIES_SUCCESS
chr1	18807423	18812480	+	127707	KLHDC7A	339	3.16511006E-1	DAVIES_SUCCESS
chr1	18957499	19075360	+	5081	PAX7	527	6.57456372E-1	DAVIES_SUCCESS
chr1	19166092	19186155	-	80834	TAS1R2	438	9.07737033E-1	DAVIES_SUCCESS
chr1	19197923	19229293	-	8659	ALDH4A1	441	8.27670785E-1	DAVIES_SUCCESS
chr1	19209695	19209769	-	100616120	MIR4695	325	8.1054011E-1	DAVIES_SUCCESS
chr1	19230773	19282826	-	126917	IFFO2	502	3.82282858E-1	DAVIES_SUCCESS
chr1	19400999	19536746	-	23352	UBR4	454	6.67978047E-1	DAVIES_SUCCESS
chr1	19542157	19578053	-	23065	EMC1	259	7.82710521E-1	DAVIES_SUCCESS
chr1	19578074	19586622	+	51154	MRTO4	226	8.18612847E-1	DAVIES_SUCCESS
chr1	19592475	19600568	-	246181	AKR7L	265	8.89590545E-1	DAVIES_SUCCESS
chr1	19609056	19615280	-	22977	AKR7A3	281	8.85692443E-1	DAVIES_SUCCESS
chr1	19619740	19622230	-	100506730	LOC100506730	267	8.24211361E-1	DAVIES_SUCCESS
chr1	19629201	19638640	-	8574	AKR7A2	290	7.40634452E-1	DAVIES_SUCCESS
chr1	19638739	19658922	+	54896	PQLC2	283	7.31632181E-1	DAVIES_SUCCESS
chr1	19665266	19812066	-	832	CAPZB	658	3.27882667E-1	DAVIES_SUCCESS
chr1	19923470	19984949	+	100532736	MINOS1-NBL1	440	1.1699664E-1	DAVIES_SUCCESS
chr1	19934300	19935138	+	644068	RPS14P3	254	1.40589693E-1	DAVIES_SUCCESS
chr1	19969722	19984949	+	4681	NBL1	280	1.11106943E-1	DAVIES_SUCCESS
chr1	19991779	20006055	+	3362	HTR6	274	1.22860829E-1	DAVIES_SUCCESS
chr1	20008705	20126758	-	255104	TMCO4	531	4.7290614E-1	DAVIES_SUCCESS
chr1	20140521	20141771	-	54546	RNF186	278	7.30239771E-1	DAVIES_SUCCESS
chr1	20208887	20239437	+	23252	OTUD3	324	6.76148328E-1	DAVIES_SUCCESS
chr1	20246799	20250110	-	30814	PLA2G2E	243	8.29373269E-1	DAVIES_SUCCESS
chr1	20301923	20306932	-	5320	PLA2G2A	270	5.82253855E-1	DAVIES_SUCCESS
chr1	20354671	20418394	+	5322	PLA2G5	392	4.94191176E-1	DAVIES_SUCCESS
chr1	20439142	20446059	-	26279	PLA2G2D	232	5.98144925E-1	DAVIES_SUCCESS
chr1	20465822	20476879	+	64600	PLA2G2F	188	5.50347669E-1	DAVIES_SUCCESS
chr1	20490483	20501687	-	391013	PLA2G2C	168	6.47195994E-1	DAVIES_SUCCESS
chr1	20512577	20519942	+	127733	UBXN10	169	3.22880245E-1	DAVIES_SUCCESS
chr1	20617411	20681387	+	127731	VWA5B1	507	2.33617374E-1	DAVIES_SUCCESS
chr1	20686293	20755287	-	339505	LOC339505	361	1.02558995E-1	DAVIES_SUCCESS
chr1	20808883	20812728	-	55450	CAMK2N1	170	5.97198314E-1	DAVIES_SUCCESS
chr1	20825940	20834674	-	79594	MUL1	218	8.0080368E-1	DAVIES_SUCCESS
chr1	20878931	20881513	+	163933	FAM43B	371	7.77484099E-1	DAVIES_SUCCESS
chr1	20915443	20945400	+	978	CDA	550	9.1772628E-1	DAVIES_SUCCESS
chr1	20959947	20978004	+	65018	PINK1	408	8.90580378E-1	DAVIES_SUCCESS
chr1	20978259	20988037	-	1650	DDOST	373	9.4715013E-1	DAVIES_SUCCESS
chr1	20990506	21044317	-	57576	KIF17	425	7.73738615E-1	DAVIES_SUCCESS
